"CD_PRODUTO","CD_CATEGORIA","NR_CD_BARRAS_PROD","DS_PRODUTO","VL_UNITARIO","TP_EMBALAGEM","ST_PRODUTO","VL_PERC_LUCRO","DS_COMPLETA_PROD"
1,11,"1234567890128","Peitoral Para Cachorro",85,"Plástico","A",30,"Peitoral ajustável para cachorros de porte pequeno e médio"
2,4,"9426569870646","Smartphone Modelo 2021",3350,"Caixa Papelão","A",10,"Smartphone da Marca SUNGSAM lançada no ano de 2021"
3,8,"9863249898731","Futebol 2020",225,"Plástico","A",15,"Jogo de Futebol Oficial para video-games lançado no ano de 2020."
4,10,"8653245768742","O Livro Cadastrado",65,"Plástico","A",40,"O Livro Best-Seller Cadastrado no Oracle da FIAP."
5,9,"8365985768718","PC Gamer",6500,"Caixa Papelão","A",20,"PC Gamer com as peças de última geração de 2022."
6,5,"9415659325731","Colchão King Size",3500,"Plástico","A",30,"Colchão King Size da Marca Colchões de 550 Molas."
7,6,"9415659325731","Raquete Tênis",250,"Caixa Papelão","A",10,"Raquete de tênis para prática de esporte."
8,6,"9415659325731","Peso 8kg",150,"Caixa Papelão","A",30,"Peso de 8kg para prática de esporte."
9,8,"9653232988732","Futebol 2022",325,"Plástico","A",15,"Jogo de Futebol Oficial para video-games lançado no ano de 2022."
10,5,"9415478636565","Colchão Queen Size",1750,"Plástico","A",30,"Colchão Queen Size da Marca Colchões de 350 Molas."
11,9,"2685985732566","Notebook Básico",2500,"Caixa Papelão","A",30,"Notebook com configurações básicas para uso cotidiano."
12,11,"3215897890112","Ração Cachorro 3kg",65,"Plástico","A",20,"3kg de ração para cachorros porte médio sabor arroz e frango"
13,10,"2653246548631","O Livro Cadastrado Volume 2",85,"Plástico","A",40,"O Livro Best-Seller Cadastrado no Oracle da FIAP em seu segundo volume."
14,12,"2653296542365","TV 60 Polegadas",4500,"Caixa Papelão","A",20,"TV de 60 Polegadas da marca SHIBATO."
15,11,"9815878936865","Ração Cachorro 10kg",195,"Plástico","A",20,"10kg de ração para cachorros porte médio sabor arroz e frango"
16,6,"9526759436842","Peso 14kg",250,"Caixa Papelão","A",30,"Peso de 14kg para prática de esporte."
17,9,"9465986598729","PC Gamer 2019",4500,"Caixa Papelão","A",20,"PC Gamer com as peças de geração 2019."
18,6,"6526589326842","Bola Copa Do Mundo",250,"Plástico","A",30,"Bola oficial da copa do mundo 2022."
19,2,"7637692686853","Fone de ouvido BT",350,"Caixa Papelão","A",25,"Fone de ouvido Bluetooth da marca BLJ."
20,2,"8637236587964","Fone de ouvido Com Fio",150,"Caixa Papelão","A",25,"Fone de ouvido Com Fios da marca BLJ."
21,4,"9876567890556","Smartphone Modelo 2018",1350,"Caixa Papelão","I",5,"Smartphone da Marca SUNGSAM lançada no ano de 2018"
22,8,"9854567892300","Futebol 2014",65,"Plástico","I",10,"Jogo de Futebol Oficial para video-games lançado no ano de 2014."
